Participant;AOI Name;Event Duration [ms]
EMME01;P2_fulltext;718.2
EMME01;P2_fulltext;324.1
EMME01;P2_fulltext;544.1
EMME01;P2_fulltext;385.1
EMME01;P2_fulltext;220
EMME01;P2_fulltext;428
EMME01;P2_fulltext;116
EMME01;P2_fulltext;92.5
EMME01;P2_fulltext;602.6
EMME01;P2_fulltext;212.6
EMME01;P2_fulltext;121.5
EMME01;P2_fulltext;391.8
EMME01;P2_fulltext;383.9
EMME01;P2_fulltext;314.9
EMME01;P2_fulltext;92
EMME01;P2_fulltext;271.9
EMME01;P2_fulltext;154.2
EMME01;P2_fulltext;95.4
EMME01;P2_fulltext;237.5
EMME01;P2_fulltext;312
EMME01;P2_fulltext;777.9
EMME01;P2_fulltext;615.8
EMME01;P2_fulltext;108.8
EMME01;P2_fulltext;2307.8
EMME01;P2_fulltext;627.9
EMME01;P2_fulltext;251.8
EMME01;P2_fulltext;108
EMME01;P2_fulltext;220
EMME01;P2_fulltext;133.6
EMME01;P2_fulltext;243.9
EMME01;P2_fulltext;182.1
EMME01;P2_fulltext;472.8
EMME01;P2_fulltext;605.3
EMME01;P2_fulltext;227.1
EMME01;P2_fulltext;99.3
EMME01;P2_fulltext;247.2
EMME01;P2_fulltext;162.6
EMME01;P2_fulltext;883.9
EMME01;P2_fulltext;154.4
EMME01;P2_fulltext;119
EMME01;P2_fulltext;210.3
EMME01;P2_fulltext;718.7
EMME01;P2_fulltext;122.1
EMME01;P2_fulltext;675.8
EMME01;P2_fulltext;135.7
EMME01;P2_fulltext;723.9
EMME01;P2_fulltext;419.9
EMME01;P2_fulltext;125.5
EMME01;P2_fulltext;128
EMME01;P2_fulltext;180.8
EMME01;P2_fulltext;220
EMME01;P2_fulltext;581.3
EMME01;P2_fulltext;102.6
EMME01;P2_fulltext;412
EMME01;P2_fulltext;299.8
EMME01;P2_fulltext;92
EMME01;P2_fulltext;372.3
EMME01;P2_fulltext;364.8
EMME01;P2_fulltext;124.4
EMME01;P2_fulltext;131.3
EMME01;P2_fulltext;300.3
EMME01;P2_fulltext;144
EMME01;P2_fulltext;92.2
EMME01;P2_fulltext;417.4
EMME01;P2_fulltext;742.9
EMME01;P2_fulltext;103.2
EMME01;P2_fulltext;112
EMME01;P2_fulltext;784.9
EMME01;P2_fulltext;1238
EMME01;P2_fulltext;260
EMME01;P2_fulltext;497.2
EMME01;P2_fulltext;184.3
EMME01;P2_fulltext;112
EMME01;P2_fulltext;323.4
EMME01;P2_fulltext;576
EMME01;P2_fulltext;276.8
EMME01;P2_fulltext;204
EMME01;P2_fulltext;1447.8
EMME01;P2_fulltext;190.9
EMME01;P2_fulltext;144.5
EMME01;P2_fulltext;150.3
EMME01;P2_fulltext;312
EMME01;P2_fulltext;103.5
EMME01;P2_fulltext;296
EMME01;P2_fulltext;880.5
EMME01;P2_fulltext;208
EMME01;P2_fulltext;312
EMME01;P2_fulltext;235
EMME01;P2_fulltext;150.7
EMME01;P2_fulltext;200.6
EMME01;P2_fulltext;1163.5
EMME01;P2_fulltext;726.5
EMME01;P2_fulltext;515.9
EMME01;P2_fulltext;528
EMME01;P2_fulltext;520
EMME01;P2_fulltext;124
EMME01;P2_fulltext;223.6
EMME01;P2_fulltext;421.6
EMME01;P2_fulltext;796.4
EMME01;P2_fulltext;635.9
EMME01;P2_fulltext;464.1
EMME01;P2_fulltext;104
EMME01;P2_fulltext;295.5
EMME01;P2_fulltext;515.1
EMME01;P2_fulltext;311.9
EMME01;P2_fulltext;223
EMME01;P2_fulltext;584
EMME01;P2_fulltext;196.8
EMME01;P2_fulltext;498.2
EMME01;P2_fulltext;217
EMME01;P2_fulltext;116
EMME01;P2_fulltext;169.9
EMME01;P2_fulltext;116.5
EMME01;P2_fulltext;429.1
EMME01;P2_fulltext;488
EMME01;P2_fulltext;208
