Participant;Soma de Average score ON survey;Soma de Total event duration on SERP
EMME01;4,068965517;21422,8
EMME02;3,862068966;36523,4
EMME03;3,896551724;132077,2
EMME06;3,482758621;25618,7
EMME08;3,551724138;156571,3
EMME10;3,448275862;77739,2
EMME12;3;72575,6
EMME14;3,551724138;44992,8
EMME16;2,965517241;68426
EMME18;3,344827586;34937,9
EMME20;3,103448276;51531,9
EMME22;3,172413793;42054,3
EMME24;3;26516,7
EMME26;3,655172414;30324,2
EMME28;3,206896552;108905,5
EMME30;3,137931034;29099,9
EMME32;3,379310345;78414
EMME34;4,172413793;76039
EMME36;3,137931034;46951,8
EMME40;3,482758621;9330
EMME42;3,965517241;23992,6
EMME44;3,689655172;26814,6
EMME46;3,689655172;101859,5
EMME48;4;65829,9
EMME50;2,896551724;49431,9
EMME52;2,896551724;23811,8
EMME54;4;28599,4
EMME56;3,344827586;62504,5
EMME58;3,724137931;73615,3
VIDEO04;3,75862069;8282,2
VIDEO05;3,965517241;31179,7
VIDEO07;3,827586207;5578,3
VIDEO09;3,724137931;16765,5
VIDEO11;3,206896552;18728,6
VIDEO13;3,655172414;60471,8
VIDEO15;3,275862069;8836,4
VIDEO17;4;26217,1
VIDEO19;4,103448276;24217,8
VIDEO21;4,482758621;20762,6
VIDEO23;3,689655172;18280,5
VIDEO25;3,827586207;44510,1
VIDEO27;3,551724138;79881,1
VIDEO29;3,172413793;13501
VIDEO31;3,689655172;15719,6
VIDEO33;3,620689655;39552,8
VIDEO35;3,551724138;15489,6
VIDEO37;4,551724138;27961,3
VIDEO38;3,655172414;13541,6
VIDEO39;3,137931034;29090,1
VIDEO41;3,551724138;129811
VIDEO43;3,75862069;
VIDEO45;3,24137931;40398,6
VIDEO47;3,413793103;19035,3
VIDEO49;3,24137931;98982,2
VIDEO51;2,931034483;61278,4
VIDEO53;3,620689655;16150,8
VIDEO55;3,310344828;10455,4
VIDEO57;3,448275862;12874,4
Total Geral;205,7931034;2534065,5
