Participant;AOI Name;Event Duration [ms]
EMME01;P1_fulltext;242.3
EMME01;P1_fulltext;237.6
EMME01;P1_fulltext;876
EMME01;P1_fulltext;223.7
EMME01;P1_fulltext;667.8
EMME01;P1_fulltext;648.3
EMME01;P1_fulltext;495.8
EMME01;P1_fulltext;416
EMME01;P1_fulltext;492.2
EMME01;P1_fulltext;444
EMME01;P1_fulltext;227.9
EMME01;P1_fulltext;248.5
EMME01;P1_fulltext;504.1
EMME01;P1_fulltext;312
EMME01;P1_fulltext;369.6
EMME01;P1_fulltext;703.9
EMME01;P1_fulltext;1280.8
EMME01;P1_fulltext;823.9
EMME01;P1_fulltext;413.7
EMME01;P1_fulltext;266
EMME01;P1_fulltext;106.8
EMME01;P1_fulltext;619.9
EMME01;P1_fulltext;565.5
EMME01;P1_fulltext;334
EMME01;P1_fulltext;336
EMME01;P1_fulltext;951.2
EMME01;P1_fulltext;132
EMME01;P1_fulltext;107.1
EMME01;P1_fulltext;323.4
EMME01;P1_fulltext;425.7
EMME01;P1_fulltext;187.7
EMME01;P1_fulltext;225.7
EMME01;P1_fulltext;235.8
EMME01;P1_fulltext;412
EMME01;P1_fulltext;483.6
EMME01;P1_fulltext;224
EMME01;P1_fulltext;321.4
EMME01;P1_fulltext;667.4
EMME01;P1_fulltext;195.9
EMME01;P1_fulltext;543.2
EMME01;P1_fulltext;145.1
EMME01;P1_fulltext;135.9
EMME01;P1_fulltext;654.1
EMME01;P1_fulltext;538.2
EMME01;P1_fulltext;327.6
EMME01;P1_fulltext;252
EMME01;P1_fulltext;527.8
EMME01;P1_fulltext;981.4
EMME01;P1_fulltext;503.9
EMME01;P1_fulltext;163
EMME01;P1_fulltext;519.2
EMME01;P1_fulltext;1419.9
EMME01;P1_fulltext;403.9
EMME01;P1_fulltext;293.5
EMME01;P1_fulltext;428
EMME01;P1_fulltext;327.9
EMME01;P1_fulltext;120
EMME01;P1_fulltext;233.9
EMME01;P1_fulltext;628.2
EMME01;P1_fulltext;412
EMME01;P1_fulltext;968.2
EMME01;P1_fulltext;312
EMME01;P1_fulltext;402.1
