Participant;AOI Name;Event Duration [ms]
EMME01;P1_ref;327.6
EMME01;P1_ref;373.1
EMME01;P1_ref;303.9
EMME01;P1_ref;137.2
EMME01;P1_ref;555.2
EMME01;P1_ref;86
EMME01;P1_ref;131.4
EMME01;P1_ref;96
EMME01;P1_ref;175.3
EMME01;P1_ref;240
EMME01;P1_ref;419.8
EMME01;P1_ref;82.4
EMME01;P1_ref;98.2
EMME01;P1_ref;152
EMME01;P1_ref;307.9
EMME01;P1_ref;1327.6
EMME01;P1_ref;513.7
EMME01;P1_ref;623.6
EMME01;P1_ref;699.9
EMME01;P1_ref;126
EMME01;P1_ref;211.9
EMME01;P1_ref;534.5
EMME01;P1_ref;105.5
EMME01;P1_ref;334.6
EMME01;P1_ref;146.7
EMME01;P1_ref;168.8
EMME01;P1_ref;193
EMME01;P1_ref;454.7
EMME01;P1_ref;262.3
EMME01;P1_ref;620.9
EMME01;P1_ref;170.4
EMME01;P1_ref;145.7
EMME01;P1_ref;120
EMME01;P1_ref;86.6
EMME01;P1_ref;215
EMME02;P1_ref;340.8
EMME02;P1_ref;212.6
EMME02;P1_ref;220.8
EMME02;P1_ref;100
EMME02;P1_ref;384
EMME02;P1_ref;187.8
EMME02;P1_ref;222.7
EMME02;P1_ref;175.8
EMME02;P1_ref;236
EMME02;P1_ref;509
EMME02;P1_ref;112
EMME02;P1_ref;365.2
EMME02;P1_ref;801.3
EMME06;P1_ref;192
EMME06;P1_ref;235.9
EMME06;P1_ref;154.9
EMME06;P1_ref;172.6
EMME06;P1_ref;376.7
EMME06;P1_ref;358.9
EMME06;P1_ref;186
EMME06;P1_ref;284
EMME06;P1_ref;296.9
EMME06;P1_ref;360.9
EMME06;P1_ref;374.8
EMME06;P1_ref;101.1
EMME06;P1_ref;82.9
EMME06;P1_ref;262.4
EMME06;P1_ref;316.8
EMME06;P1_ref;187.7
EMME06;P1_ref;981.7
EMME06;P1_ref;119.8
EMME06;P1_ref;148.7
EMME06;P1_ref;272
EMME06;P1_ref;277.2
EMME06;P1_ref;553.3
EMME06;P1_ref;249.8
EMME06;P1_ref;335
EMME06;P1_ref;440
EMME06;P1_ref;207.9
EMME06;P1_ref;164
EMME06;P1_ref;260.9
EMME06;P1_ref;271.7
EMME06;P1_ref;103.9
EMME06;P1_ref;220.4
EMME06;P1_ref;112.3
EMME06;P1_ref;172.8
EMME06;P1_ref;216
EMME06;P1_ref;200
EMME06;P1_ref;100
EMME06;P1_ref;190.4
EMME06;P1_ref;204
EMME06;P1_ref;288
EMME06;P1_ref;319.9
EMME06;P1_ref;197.7
EMME08;P1_ref;477
EMME08;P1_ref;383.1
EMME08;P1_ref;125.9
EMME10;P1_ref;204
EMME10;P1_ref;105.4
EMME10;P1_ref;140.7
EMME10;P1_ref;128
EMME10;P1_ref;199.9
EMME10;P1_ref;140.4
EMME10;P1_ref;131.5
EMME10;P1_ref;225.2
EMME10;P1_ref;240.6
EMME10;P1_ref;116.9
EMME10;P1_ref;208
EMME12;P1_ref;387.9
EMME12;P1_ref;376.8
EMME12;P1_ref;132
EMME12;P1_ref;302.7
EMME12;P1_ref;264.3
